2105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,494,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,3270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,2,24487,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6679,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0
0,0,0,0,0,0,3606,0,2,0,0,0,1,0,0,0,0,0,2,0,0,4
0,0,1,0,0,0,0,606,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1623,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,1851,0,1,0,1,0,0,0,3,1,0,0,0
0,0,0,0,0,0,1,0,2,0,1643,0,1,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,27,0,0,0,0,1315,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,6,0,0,0,0,2,3367,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,1,0,0,1,1092,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,149,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,451,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,472,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1305,0,0,0
0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,518,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
