0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0,123,10,1,1,0,0,0,0,2,72,5,0,0,0,0
0,10,71,1,0,0,0,0,0,11,29,3,0,0,0,0
0,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,61,1,0,3,0,0,3,0,0,2,0,0
0,0,0,0,0,107,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,71,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,21,0,2,0,0,0,0,80,43,0,0,0,0,0
0,21,15,0,0,0,0,0,0,4,324,3,0,0,1,0
0,29,9,0,0,0,0,0,0,1,15,34,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,181,8,0
0,0,0,0,0,5,0,0,0,0,0,0,0,3,50,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
