1795,3,49,12,231,1,4,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0
27,346,140,0,2,0,1,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0
20,12,3096,10,8,4,2,1,0,0,0,0,95,0,0,0,0,0,0,25,0,0
0,0,1,24452,22,0,7,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2
99,6,43,266,488,0,2,0,0,0,1,0,25,0,0,1,0,0,0,2,0,0
0,0,0,0,0,6513,16,0,0,8,1,0,133,11,0,0,0,0,0,2,0,0
0,0,1,32,0,41,3394,0,11,63,7,11,49,0,0,0,0,0,5,0,0,1
1,0,41,13,0,129,150,2,0,12,1,29,176,5,0,30,0,0,6,13,0,0
0,0,0,13,0,5,199,0,1300,75,7,1,0,0,0,0,0,0,23,0,0,0
0,0,0,1,0,71,113,0,12,1601,11,22,4,22,0,0,0,0,2,0,0,0
0,0,0,54,0,23,1380,0,6,150,7,3,14,4,0,0,0,0,9,2,0,0
0,8,0,0,0,9,278,1,0,2,0,842,160,1,0,33,1,0,7,1,0,0
1,2,60,34,0,239,137,0,0,0,0,134,2750,2,0,1,0,0,4,12,0,0
0,0,90,0,0,183,0,0,0,125,0,3,45,656,0,1,0,0,0,0,0,0
0,0,0,5,0,0,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,1077,4,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,415,31,0,0,0,0,0
0,0,0,0,0,0,414,0,0,0,0,24,39,0,0,0,0,2,0,4,0,0
0,0,0,8,0,99,293,0,390,24,5,11,107,0,0,0,0,0,367,3,0,0
0,0,12,26,0,5,46,1,0,2,1,0,114,0,0,1,0,0,3,312,0,0
0,0,166,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
0,0,0,317,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
