6693,0,0,0,0,3,0,0,0,0,0,0,5,9,0,0
0,3352,0,0,0,33,0,4,21,0,0,0,1,0,2,0
0,1,1530,2,0,1,0,9,0,0,0,0,0,0,0,0
0,0,0,802,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,172,0,0,0,8,0,0,0,0,0,0,0
0,0,0,0,0,678,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,879,1,0,0,1,1,2,2,0,0
0,0,1,0,0,0,0,2690,0,2,4,0,0,0,0,0
0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1578,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,2534,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,534,7,3,0,0
0,2,0,0,0,12,0,0,8,0,0,2,1339,4,0,0
0,0,0,0,0,0,0,0,1,0,2,0,0,2781,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11307
